OID_,NAME,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,Date,Year,Month
311,Chidobe,6,1918.000000000000000,0.011167687342000,127.333335876000007,180.333328246999997,52.999992370599998,154.066041060999993,10.141218941500000,295498.666756000020541,154.833335876000007,167.000000000000000,201512,2015,12
312,Jambezi,7,3851.000000000000000,0.022422713219000,132.000000000000000,190.000000000000000,58.000000000000000,159.705790750999995,9.251154332570000,615027.000182999996468,160.333328246999997,171.000000000000000,201512,2015,12
313,Kachecheti,8,2626.000000000000000,0.015290066194000,130.666671753000003,184.666671753000003,54.000000000000000,156.280020250000007,10.185025170999999,410391.333175999985542,156.333328246999997,169.333328246999997,201512,2015,12
314,Mabale,9,1780.000000000000000,0.010364172820000,128.000000000000000,184.666671753000003,56.666671752900001,151.852247174000013,11.211070202100000,270296.999968999996781,150.000000000000000,167.333328246999997,201512,2015,12
315,Nekatambe,1,5882.000000000000000,0.034248350858000,115.333335876000007,187.333328246999997,71.999992370599998,155.312308736999995,15.538724463900000,913546.999992000055499,158.333328246999997,173.666671753000003,201601,2016,01
316,Nemananga,2,3134.000000000000000,0.018247931246000,124.666664123999993,186.000000000000000,61.333335876500001,157.368538582000014,11.336676943800001,493192.999916000000667,159.333328246999997,170.666671753000003,201601,2016,01
317,Sidinda,3,8465.000000000000000,0.049288046585000,129.333328246999997,188.333328246999997,59.000000000000000,162.898641457999986,9.227610687429999,1378936.999940000008792,163.666671753000003,174.333328246999997,201601,2016,01
318,Simangani,4,7246.000000000000000,0.042190334974000,123.666664123999993,186.000000000000000,62.333335876500001,156.969224344999986,10.372426208700000,1137398.999599999981001,157.333328246999997,170.000000000000000,201601,2016,01
319,Unknown 16,5,1665.000000000000000,0.009694577385000,105.333335876000007,182.333328246999997,76.999992370599998,152.646646607999998,9.578629929280000,254156.666602999990573,153.666671753000003,163.666671753000003,201601,2016,01
320,Chidobe,6,1918.000000000000000,0.011167687342000,126.333335876000007,188.333328246999997,61.999992370599998,160.033715870000009,12.536579152600000,306944.667038000014145,159.666671753000003,177.000000000000000,201601,2016,01
321,Jambezi,7,3851.000000000000000,0.022422713219000,133.333328246999997,187.666671753000003,54.333343505899997,162.248506956999989,10.055225169700000,624819.000289999996312,163.000000000000000,175.333328246999997,201601,2016,01
322,Kachecheti,8,2626.000000000000000,0.015290066194000,127.666664123999993,187.666671753000003,60.000007629400002,158.103198778999996,10.287200495200000,415178.999991999997292,158.666671753000003,171.333328246999997,201601,2016,01
323,Mabale,9,1780.000000000000000,0.010364172820000,128.333328246999997,187.666671753000003,59.333343505899997,158.395880057999989,11.544100313100000,281944.666504000022542,158.000000000000000,174.333328246999997,201601,2016,01
324,Nekatambe,1,5882.000000000000000,0.034248350858000,114.000000000000000,188.333328246999997,74.333328247099999,160.494559629000008,15.081147958500001,944028.999741000006907,163.666671753000003,178.333328246999997,201602,2016,02
